Drain_ID,Month,Rainfall_mm_hr,Catchment_km2,Impervious_frac,Runoff_coeff,Drain_Type,Slope,Design_Capacity_m3hr,Degradation_Factor,Q_baseflow,Longitude_y,Latitude_y,Q_runoff,Q_baseflow,Q_total_in,Q_eff,Utilization_Ratio,Operational_Status
1,1,5,2.185430535,0.331009033,0.467574025,3,0.100950531,2124.722352,0.751283038,144.67944961580454,-122.3989239,47.55417264,510.92527580392675,144.67944961580454,655.6047254197313,1596.267863517065,0.4107109717633694,SAFE
1,2,8,2.185430535,0.331009033,0.467574025,3,0.100950531,2124.722352,0.751283038,144.67944961580454,-122.3989239,47.55417264,817.4804412862827,144.67944961580454,962.1598909020872,1596.267863517065,0.6027559113933143,STRESSED
1,3,12,2.185430535,0.331009033,0.467574025,3,0.100950531,2124.722352,0.751283038,144.67944961580454,-122.3989239,47.55417264,1226.220661929424,144.67944961580454,1370.9001115452286,1596.267863517065,0.8588158308999077,STRESSED
1,4,20,2.185430535,0.331009033,0.467574025,3,0.100950531,2124.722352,0.751283038,144.67944961580454,-122.3989239,47.55417264,2043.701103215707,144.67944961580454,2188.3805528315115,1596.267863517065,1.3709356699130943,CRITICAL
1,5,35,2.185430535,0.331009033,0.467574025,3,0.100950531,2124.722352,0.751283038,144.67944961580454,-122.3989239,47.55417264,3576.476930627487,144.67944961580454,3721.1563802432916,1596.267863517065,2.3311603680628195,CRITICAL
1,6,60,2.185430535,0.331009033,0.467574025,3,0.100950531,2124.722352,0.751283038,144.67944961580454,-122.3989239,47.55417264,6131.10330964712,144.67944961580454,6275.782759262925,1596.267863517065,3.931534864979027,CRITICAL
1,7,90,2.185430535,0.331009033,0.467574025,3,0.100950531,2124.722352,0.751283038,144.67944961580454,-122.3989239,47.55417264,9196.654964470681,144.67944961580454,9341.334414086487,1596.267863517065,5.851984261278478,CRITICAL
1,8,75,2.185430535,0.331009033,0.467574025,3,0.100950531,2124.722352,0.751283038,144.67944961580454,-122.3989239,47.55417264,7663.879137058901,144.67944961580454,7808.558586674705,1596.267863517065,4.891759563128752,CRITICAL
1,9,50,2.185430535,0.331009033,0.467574025,3,0.100950531,2124.722352,0.751283038,144.67944961580454,-122.3989239,47.55417264,5109.252758039267,144.67944961580454,5253.932207655072,1596.267863517065,3.2913850662125443,CRITICAL
1,10,25,2.185430535,0.331009033,0.467574025,3,0.100950531,2124.722352,0.751283038,144.67944961580454,-122.3989239,47.55417264,2554.6263790196335,144.67944961580454,2699.305828635438,1596.267863517065,1.691010569296336,CRITICAL
1,11,10,2.185430535,0.331009033,0.467574025,3,0.100950531,2124.722352,0.751283038,144.67944961580454,-122.3989239,47.55417264,1021.8505516078535,144.67944961580454,1166.530001223658,1596.267863517065,0.7307858711466111,STRESSED
1,12,6,2.185430535,0.331009033,0.467574025,3,0.100950531,2124.722352,0.751283038,144.67944961580454,-122.3989239,47.55417264,613.110330964712,144.67944961580454,757.7897805805165,1596.267863517065,0.4747259516400177,SAFE
2,1,5,4.778214379,0.618812779,0.511436136,1,0.095083151,2942.942193,0.699331514,591.3640237053498,-122.3873427,47.55897345,1221.8757494876995,591.3640237053498,1813.2397731930494,2058.09221944517,0.8810294096937361,STRESSED
2,2,8,4.778214379,0.618812779,0.511436136,1,0.095083151,2942.942193,0.699331514,591.3640237053498,-122.3873427,47.55897345,1955.0011991803196,591.3640237053498,2546.3652228856695,2058.09221944517,1.2372454445078902,CRITICAL
2,3,12,4.778214379,0.618812779,0.511436136,1,0.095083151,2942.942193,0.699331514,591.3640237053498,-122.3873427,47.55897345,2932.501798770479,591.3640237053498,3523.865822475829,2058.09221944517,1.7122001575934285,CRITICAL
2,4,20,4.778214379,0.618812779,0.511436136,1,0.095083151,2942.942193,0.699331514,591.3640237053498,-122.3873427,47.55897345,4887.502997950798,591.3640237053498,5478.867021656148,2058.09221944517,2.662109583764505,CRITICAL
2,5,35,4.778214379,0.618812779,0.511436136,1,0.095083151,2942.942193,0.699331514,591.3640237053498,-122.3873427,47.55897345,8553.130246413899,591.3640237053498,9144.494270119249,2058.09221944517,4.443189757835275,CRITICAL
2,6,60,4.778214379,0.618812779,0.511436136,1,0.095083151,2942.942193,0.699331514,591.3640237053498,-122.3873427,47.55897345,14662.508993852396,591.3640237053498,15253.873017557746,2058.09221944517,7.411656714619889,CRITICAL
