Drain_ID,Month,Rainfall_mm_hr,Catchment_km2,Impervious_frac,Runoff_coeff,Drain_Type,Slope,Design_Capacity_m3hr,Degradation_Factor,Q_baseflow,Longitude,Latitude,Q_runoff,Q_total_in,Q_eff,Utilization_Ratio,Operational_Status,Failure_Probability
1,1,5,2.185430535,0.331009033,0.467574025,3,0.100950531,2124.722352,0.751283038,144.6794496,-122.3989239,47.55417264,510.9252758,655.6047254,1596.267864,0.410710972,SAFE,0.11107362
1,2,8,2.185430535,0.331009033,0.467574025,3,0.100950531,2124.722352,0.751283038,144.6794496,-122.3989239,47.55417264,817.4804413,962.1598909,1596.267864,0.602755911,STRESSED,0.125937833
1,3,12,2.185430535,0.331009033,0.467574025,3,0.100950531,2124.722352,0.751283038,144.6794496,-122.3989239,47.55417264,1226.220662,1370.900112,1596.267864,0.858815831,STRESSED,0.20975668
1,4,20,2.185430535,0.331009033,0.467574025,3,0.100950531,2124.722352,0.751283038,144.6794496,-122.3989239,47.55417264,2043.701103,2188.380553,1596.267864,1.37093567,CRITICAL,0.706664398
1,5,35,2.185430535,0.331009033,0.467574025,3,0.100950531,2124.722352,0.751283038,144.6794496,-122.3989239,47.55417264,3576.476931,3721.15638,1596.267864,2.331160368,CRITICAL,0.796855017
1,6,60,2.185430535,0.331009033,0.467574025,3,0.100950531,2124.722352,0.751283038,144.6794496,-122.3989239,47.55417264,6131.10331,6275.782759,1596.267864,3.931534865,CRITICAL,0.871849447
1,7,90,2.185430535,0.331009033,0.467574025,3,0.100950531,2124.722352,0.751283038,144.6794496,-122.3989239,47.55417264,9196.654964,9341.334414,1596.267864,5.851984261,CRITICAL,0.882946821
1,8,75,2.185430535,0.331009033,0.467574025,3,0.100950531,2124.722352,0.751283038,144.6794496,-122.3989239,47.55417264,7663.879137,7808.558587,1596.267864,4.891759563,CRITICAL,0.882946821
1,9,50,2.185430535,0.331009033,0.467574025,3,0.100950531,2124.722352,0.751283038,144.6794496,-122.3989239,47.55417264,5109.252758,5253.932208,1596.267864,3.291385066,CRITICAL,0.854714525
1,10,25,2.185430535,0.331009033,0.467574025,3,0.100950531,2124.722352,0.751283038,144.6794496,-122.3989239,47.55417264,2554.626379,2699.305829,1596.267864,1.691010569,CRITICAL,0.773213505
1,11,10,2.185430535,0.331009033,0.467574025,3,0.100950531,2124.722352,0.751283038,144.6794496,-122.3989239,47.55417264,1021.850552,1166.530001,1596.267864,0.730785871,STRESSED,0.172266204
1,12,6,2.185430535,0.331009033,0.467574025,3,0.100950531,2124.722352,0.751283038,144.6794496,-122.3989239,47.55417264,613.110331,757.7897806,1596.267864,0.474725952,SAFE,0.11107362
2,1,5,4.778214379,0.618812779,0.511436136,1,0.095083151,2942.942193,0.699331514,591.3640237,-122.3873427,47.55897345,1221.875749,1813.239773,2058.092219,0.88102941,STRESSED,0.133531264
2,2,8,4.778214379,0.618812779,0.511436136,1,0.095083151,2942.942193,0.699331514,591.3640237,-122.3873427,47.55897345,1955.001199,2546.365223,2058.092219,1.237245445,CRITICAL,0.142774311
2,3,12,4.778214379,0.618812779,0.511436136,1,0.095083151,2942.942193,0.699331514,591.3640237,-122.3873427,47.55897345,2932.501799,3523.865822,2058.092219,1.712200158,CRITICAL,0.205431689
2,4,20,4.778214379,0.618812779,0.511436136,1,0.095083151,2942.942193,0.699331514,591.3640237,-122.3873427,47.55897345,4887.502998,5478.867022,2058.092219,2.662109584,CRITICAL,0.511095301
2,5,35,4.778214379,0.618812779,0.511436136,1,0.095083151,2942.942193,0.699331514,591.3640237,-122.3873427,47.55897345,8553.130246,9144.49427,2058.092219,4.443189758,CRITICAL,0.711224448
2,6,60,4.778214379,0.618812779,0.511436136,1,0.095083151,2942.942193,0.699331514,591.3640237,-122.3873427,47.55897345,14662.50899,15253.87302,2058.092219,7.411656715,CRITICAL,0.840397636
2,7,90,4.778214379,0.618812779,0.511436136,1,0.095083151,2942.942193,0.699331514,591.3640237,-122.3873427,47.55897345,21993.76349,22585.12751,2058.092219,10.97381706,CRITICAL,0.852844667
2,8,75,4.778214379,0.618812779,0.511436136,1,0.095083151,2942.942193,0.699331514,591.3640237,-122.3873427,47.55897345,18328.13624,18919.50027,2058.092219,9.192736889,CRITICAL,0.852844667
2,9,50,4.778214379,0.618812779,0.511436136,1,0.095083151,2942.942193,0.699331514,591.3640237,-122.3873427,47.55897345,12218.75749,12810.12152,2058.092219,6.224269932,CRITICAL,0.816906944
